Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01573,="15:17:11.754",0xEFD028,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01574,="15:17:11.754",0xEFD02E,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01575,="15:17:11.754",0xEFD034,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01576,="15:17:11.844",0xEFD40F,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4C FB 00 07 
01577,="15:17:11.844",0xEFD415,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01578,="15:17:11.844",0xEFD41B,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01579,="15:17:11.964",0xEFD7F6,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01580,="15:17:11.964",0xEFD7FC,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01581,="15:17:11.964",0xEFD802,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01582,="15:17:12.054",0xEFDBDD,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FA 00 07 
01583,="15:17:12.054",0xEFDBE3,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01584,="15:17:12.054",0xEFDBE9,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01585,="15:17:12.144",0xEFDFC4,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FB 00 07 
01586,="15:17:12.144",0xEFDFCA,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01587,="15:17:12.144",0xEFDFD0,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01588,="15:17:12.209",-,ch1,Send,0x18E03F27,Data,Extended,0x08,x| 01 B8 0B 01 00 00 00 00 
01589,="15:17:12.264",0xEFE3AB,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01590,="15:17:12.264",0xEFE3B1,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01591,="15:17:12.264",0xEFE3B7,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01592,="15:17:12.355",0xEFE792,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 62 4D FB 00 07 
01593,="15:17:12.355",0xEFE798,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01594,="15:17:12.355",0xEFE79E,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01595,="15:17:12.444",0xEFEB79,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4C FB 00 07 
01596,="15:17:12.444",0xEFEB7F,ch1,Receive,0x18E3272F,Data,Extended,0x08,x| 00 00 00 00 00 00 00 00 
01597,="15:17:12.444",0xEFEB85,ch1,Receive,0x18E2272F,Data,Extended,0x08,x| 00 FF FF FF FF FF FF FF 
01598,="15:17:12.535",0xEFEF60,ch1,Receive,0x18E1272F,Data,Extended,0x08,x| 01 00 00 63 4D FA 00 07 
